Dataset Size,Trial,Brute Force Times,Divide and Conquer Times,Line Sweep Times,Bee Colony Optimization Times
2,1,2.0700001186924055e-05,2.2599997464567423e-05,1.679999695625156e-05,0.29044160000194097
2,2,1.630000042496249e-05,2.0700001186924055e-05,2.179999864893034e-05,0.29183199999897624
2,3,1.8699996871873736e-05,1.889999839477241e-05,1.4900000678608194e-05,0.2882624999983818
2,4,1.6900001355679706e-05,4.650000118999742e-05,1.680000059423037e-05,0.3410973999998532
2,5,1.1500000255182385e-05,1.6999998479150236e-05,1.5699999494245276e-05,0.28898499999922933
4,1,2.390000008745119e-05,3.529999958118424e-05,2.2000000171829015e-05,0.2820681000011973
4,2,1.4199998986441642e-05,4.610000178217888e-05,1.9800001609837636e-05,0.28037749999930384
4,3,1.799999881768599e-05,3.649999780463986e-05,1.8500002624932677e-05,0.2767103000005591
4,4,1.889999839477241e-05,3.199999991920777e-05,1.889999839477241e-05,0.2771154000001843
4,5,1.4099998224992305e-05,3.220000144210644e-05,2.010000025620684e-05,0.2792893000005279
8,1,3.449999712756835e-05,5.610000152955763e-05,2.469999890308827e-05,0.2835551999996824
8,2,3.7999998312443495e-05,6.0900001699337736e-05,3.80000019504223e-05,0.2954890000000887
8,3,3.0499999411404133e-05,6.450000000768341e-05,2.8899998142151162e-05,0.2745391999997082
8,4,2.4999997549457476e-05,5.65999980608467e-05,2.6500001695239916e-05,0.2867608000015025
8,5,3.680000008898787e-05,8.309999975608662e-05,2.2899999748915434e-05,0.2799912000009499
16,1,8.970000271801837e-05,0.0001336999994236976,2.1400002879090607e-05,0.2917602000015904
16,2,9.860000136541203e-05,0.00013410000246949494,3.680000008898787e-05,0.2865691999977571
16,3,0.00013810000018565916,0.00014210000153980218,2.6900001103058457e-05,0.2862215000022843
16,4,0.0002314000012120232,0.00010680000195861794,3.809999907389283e-05,0.2930704999998852
16,5,9.950000094249845e-05,0.00014730000111740083,2.8200000087963417e-05,0.2825970999983838
32,1,0.0003659000030893367,0.00021550000019487925,4.740000076708384e-05,0.281052099999215
32,2,0.0002482999989297241,0.0003699999979289714,3.94000016967766e-05,0.27557829999932437
32,3,0.00023860000146669336,0.00019429999883868732,2.2400003217626363e-05,0.2921040000001085
32,4,0.0004374000018287916,0.00021259999994072132,4.8800000513438135e-05,0.28023600000233273
32,5,0.00021919999926467426,0.00017950000255950727,4.239999907440506e-05,0.2790118999982951
64,1,0.0009265999979106709,0.0006796999987273011,7.619999814778566e-05,0.28038720000040485
64,2,0.0008605000002717134,0.0005926000012550503,4.11000000895001e-05,0.2917680999998993
64,3,0.0009386999990965705,0.0007110000005923212,7.370000093942508e-05,0.28444470000249567
64,4,0.0008703000021341722,0.0006551000005856622,8.650000017951243e-05,0.29836400000203867
64,5,0.0008372000011149794,0.0007818000012775883,5.4299998737405986e-05,0.27644580000196584
128,1,0.0035123000016028527,0.00284280000050785,0.0002080000012938399,0.3588713999997708
128,2,0.0038124000020616222,0.0018487999986973591,7.529999857069924e-05,0.2719684000003326
128,3,0.003545499999745516,0.0027427000022726133,0.00015600000187987462,0.29514170000038575
128,4,0.0034182000017608516,0.003224600000976352,0.0002537000000302214,0.29535650000252645
128,5,0.003435200000240002,0.00363640000068699,0.00017099999968195334,0.2797486999988905
256,1,0.014527200000884477,0.007117300003301352,0.00023399999918183312,0.28878469999835943
256,2,0.014104699999734294,0.009366500002215616,0.0001864000005298294,0.28327960000024177
256,3,0.014667700001155026,0.007448500000464264,0.00019640000027720816,0.31380739999804064
256,4,0.014975400001276284,0.009240600000339327,0.00022659999740426429,0.28022540000165463
256,5,0.014885000000504078,0.007121499998902436,0.0002874000019801315,0.2871984000012162
512,1,0.060466499999165535,0.03364960000180872,0.00021320000087143853,0.30007130000012694
512,2,0.06501690000004601,0.031345499999588355,0.0003452000019024126,0.28484739999839803
512,3,0.05959409999923082,0.03201620000254479,0.0003338000024086796,0.2881512999992992
512,4,0.05932590000156779,0.03498540000146022,0.0006620999993174337,0.29910759999984293
512,5,0.058278900000004796,0.0372986000002129,0.0003867999985232018,0.3219022000012046
1024,1,0.23184559999936027,0.14122520000091754,0.0005396000015025493,0.3027029999975639
1024,2,0.2213607999983651,0.12931029999890598,0.0007000999976298772,0.28843009999764035
1024,3,0.23131999999895925,0.11507949999941047,0.000983900001301663,0.28662610000174027
1024,4,0.22842519999903743,0.11912569999913103,0.0005727999996452127,0.3045154999999795
1024,5,0.23517720000018016,0.13401789999988978,0.0006723000005877111,0.29622500000186847
2048,1,0.9152020000001357,0.5118422000014107,0.0010350999982620124,0.32110629999806406
2048,2,0.9064605000021402,0.5966729000028863,0.001104700000723824,0.31106419999923673
2048,3,0.9358941000027698,0.5064785000031407,0.0012475000003178138,0.30376780000005965
2048,4,0.9797607000000426,0.5145372000006319,0.0018387000018265098,0.32899430000179564
2048,5,0.9017174000000523,0.604429799997888,0.0016710999989300035,0.30523249999896507
4096,1,3.783119200001238,2.3076450000007753,0.0022146000010252465,0.3062963000011223
4096,2,3.7358170000006794,2.467138600000908,0.0024096000015561003,0.3611438999978418
4096,3,4.215948799999751,2.6181407000003674,0.0017732999986037612,0.32869859999846085
4096,4,3.7583070999971824,2.4348998999994365,0.0022981000001891516,0.2981222999987949
4096,5,3.850977400001284,2.3079295999996248,0.0023813000007066876,0.3054635000007693
8192,1,14.688619500000641,9.684777499998745,0.004532999999355525,0.3446937999979127
8192,2,16.243452500002604,10.04949520000082,0.007692799998039845,0.31580029999895487
8192,3,16.895745500001794,11.961589300000924,0.006064099998184247,0.4227328999986639
8192,4,15.679931099999521,9.467817400000058,0.0067299000002094544,0.3029997000012372
8192,5,16.376609499999176,11.583482199999708,0.004644000000553206,0.3090806000000157
